Location,Date,MileTwoSpeed,RPMPeak,EGT,AFR,DA,Head,LocationDummy,WindSpeed,WindDirection,CorrectedWind
El Mirage,18-May,85.868,14860,1041,0.62,5000,0,0,,,
El Mirage,19-May,86.871,14690,1043,0.66,4000,0,0,,,
El Mirage,19-May,87.766,14880,1041,0.62,4000,0,0,,,
Boneville,3-Aug,81.809,13980,1205,0.77,8039,0,1,2,E,-1.53209
Boneville,5-Aug,78.208,13420,996,0.64,6688,0,1,8,NW,0.697241
Boneville,5-Aug,80.374,13650,1068,0.66,7690,1,1,8,SE,-0.697241
Boneville,5-Aug,82.764,14220,1050,0.67,6720,1,1,6,NNW,-1.80424
Boneville,6-Aug,83.141,14190,1085,0.65,7721,1,1,5,ESE,-2.30874
Boneville,7-Aug,86.204,14590,1090,0.66,6573,1,1,8,S,5.1423
Boneville,8-Aug,84.323,14300,1067,0.66,6301,1,1,0,SSE,0
Boneville,8-Aug,83.603,14300,1065,0.65,7032,1,1,5,NE,-4.98097
